"filename", "language", "Python", "JSON with Comments", "JavaScript", "Markdown", "TypeScript", "JSON", "SVG", "TypeScript JSX", "SCSS", "PostCSS", "comment", "blank", "total"
"c:\Users\zafir\OneDrive\TM_2025\tensorflow\client\lib\utils.ts", "TypeScript", 0, 0, 0, 0, -5, 0, 0, 0, 0, 0, 0, -2, -7
"c:\Users\zafir\OneDrive\TM_2025\tensorflow\client\next.config.ts", "TypeScript", 0, 0, 0, 0, -4, 0, 0, 0, 0, 0, -1, -3, -8
"c:\Users\zafir\OneDrive\TM_2025\tensorflow\client\package-lock.json", "JSON", 0, 0, 0, 0, 0, -5216, 0, 0, 0, 0, 0, -1, -5217
"c:\Users\zafir\OneDrive\TM_2025\tensorflow\client\package.json", "JSON", 0, 0, 0, 0, 0, -57, 0, 0, 0, 0, 0, -1, -58
"c:\Users\zafir\OneDrive\TM_2025\tensorflow\client\postcss.config.mjs", "JavaScript", 0, 0, -4, 0, 0, 0, 0, 0, 0, 0, 0, -2, -6
"c:\Users\zafir\OneDrive\TM_2025\tensorflow\client\public\circle-help.svg", "SVG", 0, 0, 0, 0, 0, 0, -15, 0, 0, 0, 0, -2, -17
"c:\Users\zafir\OneDrive\TM_2025\tensorflow\client\public\colors\color.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\zafir\OneDrive\TM_2025\tensorflow\client\public\cursor\grab.svg", "SVG", 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, -1
"c:\Users\zafir\OneDrive\TM_2025\tensorflow\client\public\cursor\grabbing.svg", "SVG", 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, -1
"c:\Users\zafir\OneDrive\TM_2025\tensorflow\client\public\cursor\move.svg", "SVG", 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, -1
"c:\Users\zafir\OneDrive\TM_2025\tensorflow\client\public\cursor\pointer.svg", "SVG", 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, -1
"c:\Users\zafir\OneDrive\TM_2025\tensorflow\client\public\cursor\text-cursor.svg", "SVG", 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, -1
